,title,dated,objectid,classification,accessionmethod
0,Negro Soldier,1945,50190,Paintings,Purchase
1,"""Jewish farm. Negro. Italian. Farmer.""",1942,55210,Drawings,Gift
2,"Negro Church, South Carolina",March 1936,71126,Photographs,Gift
3,"Small mold-made lamp, Eros or Negroid child",,92357,Lighting Devices,Gift
4,"Negro sharecropper and his wife, Pulaski County, Arkansas",1935,156109,Photographs,Transfer
5,"Family of Negro sharecropper, Little Rock, Arkansas",1935,156110,Photographs,Transfer
6,"Background photo, family of Negro FSA client, Caruthersville, Missouri",1938,156434,Photographs,Transfer
7,Never Been Out of Mississippi (Negro woman who has never been out of Mississippi),1936,156445,Photographs,Transfer
8,"Negro using outside colored stairway to enter movie theatre, Belzoni, Missisissippi","1939, printed later",157378,Photographs,Transfer
9,"Negros Jitterbugging in ""Juke Joint,"" Clarksdale, Mississippi","1939, printed later",157773,Photographs,Transfer
10,"Housing, Conditions: United States. Pennsylvania. Pittsburgh. Pittsburgh Survey: McKees Rocks: First Floor below the level of the street; Leak roof; dilapidated walls. Occupied by Negroes.",1907-1908,157780,Photographs,Transfer
11,"Charity, Public: United States. New York. Ghent. Columbia County Almshouse: Almshouses of Columbia County, N.Y.: Side View of Main Buildings: House for Negroes and Tramps; Men's department",c. 1900,158071,Photographs,Transfer
14,"Housing, Conditions: United States. New Jersey. Newark: Housing Conditions in Newark, New Jersey: III. Yard of negro house illustrating bad repair.  The hydrant serves as sole water supply for several families.  Both the yard and cellar are cluttered with papers, ashes and decaying organic material.",c. 1903,314289,Photographs,Transfer
15,"Actor Speaks at Malcolm's Funeral: New York: Negro actor-playwright Ossie Davis speaks to crowd of some 1,000 persons attending funeral for slain Negro extremist Malcolm X at the Faith Temple, Church of God in Christ, February 27th.  Davis praised Malcolm as a ""man who could unite many diverse elements.""  Messages from Negro and civil rights leaders from around the nation were read during the service.","February 27, 1965",321556,Photographs,Gift
18,"X-radiograph(s) of ""Two Negroes""",,347360,Photographs,Not Recorded
20,"Two Women of Color, Dominica [French Mulatress of Dominica and a Negro Woman in their Proper Dress]",c. 1765-1790,222160,Paintings,Transfer
21,Negro in a Punt in a Landscape,19th century,228099,Paintings,Gift
22,Purchasing Fruit [A French Mulatress Purchasing Fruit from a Negro Wench],c. 1765-1790,228453,Paintings,Transfer
23,Women of Color Bathing and a Voyeur [Mulatresses and Negro Woman Bathing],c. 1765-1790,228454,Paintings,Transfer
24,"Negro Huts, near Wilminton, North Carolina",1886,232733,Prints,Not Recorded
26,Negro Page,19th century,244309,Prints,Gift
27,Negro Mounted Upon a Rearing Horse,c. 1825,251121,Prints,Purchase
28,Negropont,19th century,254707,Prints,Bequest
29,The Negro,20th century,259383,Prints,Purchase
30,"Vicksburg Negroes and shop front, Mississippi","March 1936, printed later",285456,Photographs,Purchase
31,Free Nigger,19th century,20187,Prints,Not Recorded
32,"Probable Effects of Over Female Emigration, or Importing the Fair Sex from the Savage Islands in Consequence of Exporting all our own to Australia",1851,333523,Prints,Gift
33,Isn't that savage ugly!,1850,263703,Prints,Gift
34,Bineau the Savage,1850,263938,Prints,Gift
35,Bineau the savage,1850,264268,Prints,Gift
36,The Savage Bineau Having... Finally Discovered to Use His Club...,1850,267908,Prints,Gift
37,The Savage Bineau Making His Entrance...,1849,268115,Prints,Gift
38,The Savage Bineau Making His Entrance...,1849,268116,Prints,Gift
39,The Danger of... Visiting a Far Too Savage Place,1845,268324,Prints,Gift
40,The Savage Binau Having...Finally Found a Use for His Club...,1850,270087,Prints,Bequest
41,American Indian Costumes,1636,92639,Prints,Purchase
42,American Indian Battle,1636,93001,Prints,Purchase
43,Driving Across the US / Corn Wheat Tornados / Rocky Mts Cowboys / Indians Deserts Palm / Orange Avacado / Trees Mexicans / Isomata and Palm / Springs Wrkshops / The Pacific Ocean / Hiking Bicycling / And Such / Fine / Painting Light!,20th century,94480,Prints,Purchase
44,Seminole Indian,1954,99982,Photographs,Transfer
45,"Untitled (four photographs: men in elaborate costumes in gymnasium surrounded by stage lighting and microphone (three photographs); group photo of men in elaborate costumes including Uncle Sam, clown, old women, American Indian and Fu Manchu)",1948,119455,Photographs,Transfer
46,Untitled (Eugenie Stoll in Indian costume shooting arrow),c. 1935,120649,Photographs,Transfer
47,Untitled (people in Indian costumes inside tipi),c. 1950,125611,Photographs,Transfer
48,Untitled (neon lights at night; an Indian chief),c. 1950,126384,Photographs,Transfer
49,Untitled (children in cowboy and Indian costumes),1975,126580,Photographs,Transfer
50,Untitled (San Idefonso Indian women removing bread from oven),1946,135442,Photographs,Transfer
51,Untitled (San Idefonso Indian women removing bread from oven),1946,135443,Photographs,Transfer
52,Untitled (cast of pilgrim and indian performers on platform of altar of church),1939,138037,Photographs,Transfer
53,Untitled (white women dressed in Indian costumes),"1953, printed later",142691,Photographs,Transfer
55,"Indian Totem Poles, Fort Wrangel, Alaska",1880s,156510,Photographs,Transfer
56,Sioux Indian Dance,1891,156591,Photographs,Transfer
57,Indian Chiefs Who Counciled with Gen. Miles and Settled the Indian War,1880s,157050,Photographs,Transfer
58,"Aboriginal Life Among the Navajoe Indians. Near old Fort Defiance, N.M.",1873,157374,Photographs,Transfer
59,"View of Indian Camp, Pine Ridge Agency, S. D.",1891,157537,Photographs,Transfer
60,"Indian Pueblo, Zuni, N. M.",1873,158176,Photographs,Transfer
61,"Group of Pah-Ute Indians, Nevada",1871,158185,Photographs,Transfer
62,"Hair Washing, Hopi Indians (Shoshonean)",c. 1870,159314,Photographs,Transfer
63,"Poosepatuck Indian Reservation, Mastic",1979,159926,Photographs,Transfer
65,"Gathering of Men, after an Indian Miniature",19th-20th century,197836,Drawings,Gift
66,Marriage Ritual of the Indians of Panama,18th century,296246,Drawings,Bequest
67,Indian Pilgrims,20th century,298174,Drawings,Gift
68,Album: Figure Sketches and Photographs of Sargent Works,19th-20th century,307743,Drawings,Gift
69,"Indian Village, Adirondacks",1894,308599,Drawings,Gift
70,"Indian Girl, Seated",19th-20th century,308818,Drawings,Bequest
73,Untitled (children in cowboy and Indian costumes),1975,315652,Photographs,Transfer
