,Unnamed: 0,copyright,creditline,createdate,division,period,totalpageviews,accessionyear,classification,primaryimageurl,style,commentary,technique,description,medium,title,accessionmethod,provenance,dated,department,dateend,people,url,century,objectnumber,labeltext,culture,objectid,dimensions
148,48,,"Harvard Art Museums/Arthur M. Sackler Museum, Gift of Stuart Cary Welch, Jr.",2006-01-24T00:00:00-05:00,Asian and Mediterranean Art,,60,2006.0,Textile Arts,https://nrs.harvard.edu/urn-3:HUAM:INV124010_dynmc,,"The patka as an item of clothing has a long history but found its most elegant expression in the age of the Mughals. Examples of it can be seen in almost every portrait of Mughal emperors and courtiers from the late 16th century to the 19th century. The patka was a long, narrow, textile associated with courtly dress. The patka was worn about the wearer's waist, over top a long shirt.",,"The dimensions of the patka (247.3 cm long with fringe and 46.5cm wide) are similar to many others but the pattern on the end panels is unusual. Instead of the characteristic row of tall flowering plants, there is a repeat pattern of staggered rows of a highly stylised floral sprig, with a short stem, a leaf and a flower head. The patka falls into the category of textile art.",Cotton with silk and gold,Patka (sash),Gift,,18th century,Department of Islamic & Later Indian Art,0,,https://www.harvardartmuseums.org/collections/object/4848,18th century,2006.15,,Indian,4848,46.5 x 247.3 cm (18 5/16 x 97 3/8 in.)
270,70,,"Harvard Art Museums/Arthur M. Sackler Museum, Transfer from the Alice Corinne McDaniel Collection, Department of the Classics, Harvard University",2001-10-18T00:00:00-04:00,Asian and Mediterranean Art,"Classical period, Late, to Early Hellenistic",96,2012.0,Artists' Tools,https://nrs.harvard.edu/urn-3:HUAM:INV054242_dynmc,,"The use of these types of disks, sometimes called ""dischi sacri"" (""sacred disks""), is not entirely understood. Several are known, found in Italy, particularly in the south and around ancient Taras/Tarentum (Taranto). Some are in relief, but most have the symbols impressed into the disk.

The disks often bear many of the same motifs, some arranged in similar configurations from object to object. The objects may represent divinities--some common associations like Zeus with the thunderbolt, Hephaistos with the tongs, Poseidon with the trident, Hermes with the caduceus, Apollo with the lyre, and Athena with the owl are very clear--but many are in fact everyday items that are not necessrily associated with any particular god or goddess. They may, therefore, represent a mixture of sacred and profane objects, a selection of offerings, or as Prof. McDaniel suggested in his 1924 article about these disks, items loosely associated with the city of Tarentum. Favoring the latter explanation, McDaniel suggested that the symbols formed a ""compound seal"" used in commerce, associated with Tarentum. They would have been impressed in wax or on clay to form seal impressions that would be particularly difficult to duplicate due to their complexity.",Molded,"This intact terracotta circular disk, with a rectangular pierced tang at the bottom, bears the impression of more than two dozen symbols. From top to bottom, starting with the upper register, the objects can be identified as a grape bunch over a crescent moon, tongs, two amphorae or kantharoi flanking three distaffs (for spinning) above an owl, and a four-spoked wheel; in the second register, there is a distaff with wool wound around it, a club, trident, distaff, caduceus, patera or offering bread, lighting bolt, scabbard, torch with flame arching to the right, and a ladder-shape, possibly an Apulian sistrum (a type of musical instrument). In the third register, there are three round offering cakes, a wavy symbol that could be a bow or serpent or cuttlefish above a square tablet, a lyre above an open hand, a bird (an eagle or a dove) facing right above an infinity symbol (either an open box mirror or cymbals) above a strigil or Egyptian sistrum, next to two difficult to read objects, of which one might be an oil flask.
",Terracotta,Circular Impressed Disk,Transfer,"Taranto, Italy, (before 1924) purchase; by Walton Brooks McDaniel, New Jersey (?-1943/46) gift; to the Department of the Classics, Harvard University, (1943/46-2012) transfer;  to the Harvard Art Museums, 2012.

Note: Walton Brooks McDaniel gave a portion of his collection to the Department of the Classics in 1943 and the rest in 1946. The Collection is named for his late wife, Alice Corinne McDaniel. 
",4th century BCE,Department of Ancient and Byzantine Art & Numismatics,-300,,https://www.harvardartmuseums.org/collections/object/5013,4th century BCE,2012.1.69,,Greek,5013,11.5 x 1.5 cm (4 1/2 x 9/16 in.)
319,19,"© Mark Tobey / Artists Rights Society (ARS), New York","Harvard Art Museums/Fogg Museum, Gift in memory of Ruth Sager from Arthur B. Pardee and Ann B. Goodman",2006-03-01T00:00:00-05:00,Modern and Contemporary Art,,106,2006.0,Prints,,,"These three prints are from Mark Tobey's Transitions portfolio of seven aquatints.  Tobey, one of the ""mystical painters of the Northwest,"" had become a member of the Bahai World Faith in 1918 and in 1934 visited China and Japan.  His noted ""white writing"" style of painting--an overlay of white calligraphic style symbols on an abstract field--evolved from his study of Asian calligraphy and brush painting during this visit.  Tobey spent much of his life working in the Seattle area but in 1960 moved to Basel, Switzerland.  The Transitions portfolio was published in Frankfurt in 1970 and the prints clearly grow out of his ""white writing"" style.  The titles of the prints, Trio, Devoted, and Movement in White convey the artist's life-long interest in spiritual themes.",Aquatint,,,"Movement in White, from the Transitions portfolio",Gift,,1970,Department of Prints,1970,"[{'role': 'Artist', 'birthplace': 'Centerville, WI', 'gender': 'male', 'displaydate': '1890 - 1976', 'prefix': None, 'culture': 'American', 'displayname': 'Mark Tobey', 'alphasort': 'Tobey, Mark', 'name': 'Mark Tobey', 'personid': 29045, 'deathplace': 'Basel, Switzerland', 'displayorder': 1}, {'role': 'Printer', 'birthplace': None, 'gender': 'unknown', 'displaydate': None, 'prefix': None, 'culture': None, 'displayname': 'François Lafranca', 'alphasort': 'Lafranca, François', 'name': 'François Lafranca', 'personid': 26530, 'deathplace': None, 'displayorder': 2}, {'role': 'Publisher', 'birthplace': None, 'gender': 'unknown', 'displaydate': None, 'prefix': None, 'culture': None, 'displayname': 'Edition de Beauclair, Frankfurt am Main', 'alphasort': 'Edition de Beauclair, Frankfurt am Main', 'name': 'Edition de Beauclair, Frankfurt am Main', 'personid': 26531, 'deathplace': None, 'displayorder': 3}]",https://www.harvardartmuseums.org/collections/object/5074,20th century,2006.51,,American,5074,"plate: 31.7 x 24.3 cm (12 1/2 x 9 9/16 in.)
sheet: 52.9 x 43 cm (20 13/16 x 16 15/16 in.)"
441,41,"© Mark Tobey / Artists Rights Society (ARS), New York","Harvard Art Museums/Fogg Museum, Gift in memory of Ruth Sager from Arthur B. Pardee and Ann B. Goodman",2006-03-03T00:00:00-05:00,Modern and Contemporary Art,,93,2006.0,Prints,,,"These three prints are from Mark Tobey's Transitions portfolio of seven aquatints.  Tobey, one of the ""mystical painters of the Northwest,"" had become a member of the Bahai World Faith in 1918 and in 1934 visited China and Japan.  His noted ""white writing"" style of painting--an overlay of white calligraphic style symbols on an abstract field--evolved from his study of Asian calligraphy and brush painting during this visit.  Tobey spent much of his life working in the Seattle area but in 1960 moved to Basel, Switzerland.  The Transitions portfolio was published in Frankfurt in 1970 and the prints clearly grow out of his ""white writing"" style.  The titles of the prints, Trio, Devoted, and Movement in White convey the artist's life-long interest in spiritual themes.",Aquatint,,,"Devoted, from the Transitions portfolio",Gift,,1970,Department of Prints,1970,"[{'role': 'Artist', 'birthplace': 'Centerville, WI', 'gender': 'male', 'displaydate': '1890 - 1976', 'prefix': None, 'culture': 'American', 'displayname': 'Mark Tobey', 'alphasort': 'Tobey, Mark', 'name': 'Mark Tobey', 'personid': 29045, 'deathplace': 'Basel, Switzerland', 'displayorder': 1}, {'role': 'Publisher', 'birthplace': None, 'gender': 'unknown', 'displaydate': None, 'prefix': None, 'culture': None, 'displayname': 'Edition de Beauclair, Frankfurt am Main', 'alphasort': 'Edition de Beauclair, Frankfurt am Main', 'name': 'Edition de Beauclair, Frankfurt am Main', 'personid': 26531, 'deathplace': None, 'displayorder': 2}, {'role': 'Printer', 'birthplace': None, 'gender': 'unknown', 'displaydate': None, 'prefix': None, 'culture': None, 'displayname': 'François Lafranca', 'alphasort': 'Lafranca, François', 'name': 'François Lafranca', 'personid': 26530, 'deathplace': None, 'displayorder': 3}]",https://www.harvardartmuseums.org/collections/object/5214,20th century,2006.53,,American,5214,"plate: 31.5 x 24.3 cm (12 3/8 x 9 9/16 in.)
sheet: 54.1 x 43.2 cm (21 5/16 x 17 in.)"
469,69,"© Mark Tobey / Artists Rights Society (ARS), New York","Harvard Art Museums/Fogg Museum, Gift in memory of Ruth Sager from Arthur B. Pardee and Ann B. Goodman",2006-03-03T00:00:00-05:00,Modern and Contemporary Art,,61,2006.0,Prints,,,"These three prints are from Mark Tobey's Transitions portfolio of seven aquatints.  Tobey, one of the ""mystical painters of the Northwest,"" had become a member of the Bahai World Faith in 1918 and in 1934 visited China and Japan.  His noted ""white writing"" style of painting--an overlay of white calligraphic style symbols on an abstract field--evolved from his study of Asian calligraphy and brush painting during this visit.  Tobey spent much of his life working in the Seattle area but in 1960 moved to Basel, Switzerland.  The Transitions portfolio was published in Frankfurt in 1970 and the prints clearly grow out of his ""white writing"" style.  The titles of the prints, Trio, Devoted, and Movement in White convey the artist's life-long interest in spiritual themes.",Aquatint,,,"Trio, from the Transitions portfolio",Gift,,1970,Department of Prints,1970,"[{'role': 'Artist', 'birthplace': 'Centerville, WI', 'gender': 'male', 'displaydate': '1890 - 1976', 'prefix': None, 'culture': 'American', 'displayname': 'Mark Tobey', 'alphasort': 'Tobey, Mark', 'name': 'Mark Tobey', 'personid': 29045, 'deathplace': 'Basel, Switzerland', 'displayorder': 1}, {'role': 'Printer', 'birthplace': None, 'gender': 'unknown', 'displaydate': None, 'prefix': None, 'culture': None, 'displayname': 'François Lafranca', 'alphasort': 'Lafranca, François', 'name': 'François Lafranca', 'personid': 26530, 'deathplace': None, 'displayorder': 2}, {'role': 'Publisher', 'birthplace': None, 'gender': 'unknown', 'displaydate': None, 'prefix': None, 'culture': None, 'displayname': 'Edition de Beauclair, Frankfurt am Main', 'alphasort': 'Edition de Beauclair, Frankfurt am Main', 'name': 'Edition de Beauclair, Frankfurt am Main', 'personid': 26531, 'deathplace': None, 'displayorder': 3}]",https://www.harvardartmuseums.org/collections/object/5242,20th century,2006.52,,American,5242,"plate: 31.6 x 24.1 cm (12 7/16 x 9 1/2 in.)
sheet: 53.1 x 42.7 cm (20 7/8 x 16 13/16 in.)"
732,32,"© Artists Rights Society (ARS), New York / ADAGP, Paris","Harvard Art Museums/Fogg Museum, Margaret Fisher 1986 Fund",2006-02-16T00:00:00-05:00,Modern and Contemporary Art,,275,2006.0,Prints,,,"André Masson joined the Surrealist movement in 1924 and had numerous breaks and reconciliations with the movement through the 1940s.  In 1938 Masson was invited to contribute a print to the album Solidarité that was published to raise money for Spanish orphans during the Civil War.  The album contained prints by Miro, Picasso, Tanguy, and others, with the addition of a poem by Paul Eluard.  Masson's etching L'Espagne assassinée vividly illustrates the idea of civil war, depicting a chicken (symbolizing Spain) attacking and blinding itself.  Masson also incorporated the symbol of the swastika (reversed in the printing process) as an appendage of the bird's leg to equate Franco with German fascism.  This print marks the first collaboration between Masson and the British printmaker Stanley William Hayter.  Hayter was deeply moved by the Spanish Civil War (as was Masson) and was responsible for organizing the Solidarité album and printing it at his experimental workshop Atelier 17 in Paris.  Hayter continued to work with Masson and became an important figure in his printing career.  Hayter later relocated Atelier 17 to New York and continued working with experimental printing techniques.  Masson made eighteen prints there between 1941 and 1945 while he was in exile.  The second print, Rodeo, is representative of this period.  Masson saw his first rodeo in 1945 and soon thereafter made this print.  The subject matter shows a clear relationship to the bullfight, which Masson had previously depicted during his stay in Spain.  He later used a similar composition depicting a slain bull in the album Toro (1951).",Etching,,Etching on white wove paper,L'Espagne assassinée from Solidarité,Purchase,,1938,Department of Prints,1938,"[{'role': 'Artist', 'birthplace': 'Balagne', 'gender': 'male', 'displaydate': '1896 - 1987', 'prefix': None, 'culture': 'French', 'displayname': 'André Masson', 'alphasort': 'Masson, André', 'name': 'André Masson', 'personid': 27423, 'deathplace': 'Paris', 'displayorder': 1}, {'role': 'Publisher', 'birthplace': 'London, England', 'gender': 'male', 'displaydate': '1901 - 1988', 'prefix': None, 'culture': 'British', 'displayname': 'Stanley William Hayter', 'alphasort': 'Hayter, Stanley William', 'name': 'Stanley William Hayter', 'personid': 30878, 'deathplace': 'Paris, France', 'displayorder': 2}]",https://www.harvardartmuseums.org/collections/object/5529,20th century,2006.22,,French,5529,"plate: 8 x 10.9 cm (3 1/8 x 4 5/16 in.)
sheet: 22.4 x 16.1 cm (8 13/16 x 6 5/16 in.)"
733,33,"© Artists Rights Society (ARS), New York / ADAGP, Paris","Harvard Art Museums/Fogg Museum, Margaret Fisher 1986 Fund",2006-02-16T00:00:00-05:00,Modern and Contemporary Art,,112,2006.0,Prints,,,"André Masson joined the Surrealist movement in 1924 and had numerous breaks and reconciliations with the movement through the 1940s.  In 1938 Masson was invited to contribute a print to the album Solidarité that was published to raise money for Spanish orphans during the Civil War.  The album contained prints by Miro, Picasso, Tanguy, and others, with the addition of a poem by Paul Eluard.  Masson's etching L'Espagne assassinée vividly illustrates the idea of civil war, depicting a chicken (symbolizing Spain) attacking and blinding itself.  Masson also incorporated the symbol of the swastika (reversed in the printing process) as an appendage of the bird's leg to equate Franco with German fascism.  This print marks the first collaboration between Masson and the British printmaker Stanley William Hayter.  Hayter was deeply moved by the Spanish Civil War (as was Masson) and was responsible for organizing the Solidarité album and printing it at his experimental workshop Atelier 17 in Paris.  Hayter continued to work with Masson and became an important figure in his printing career.  Hayter later relocated Atelier 17 to New York and continued working with experimental printing techniques.  Masson made eighteen prints there between 1941 and 1945 while he was in exile.  The second print, Rodeo, is representative of this period.  Masson saw his first rodeo in 1945 and soon thereafter made this print.  The subject matter shows a clear relationship to the bullfight, which Masson had previously depicted during his stay in Spain.  He later used a similar composition depicting a slain bull in the album Toro (1951).",Etching,,,Rodeo,Purchase,,1945,Department of Prints,1945,"[{'role': 'Artist', 'birthplace': 'Balagne', 'gender': 'male', 'displaydate': '1896 - 1987', 'prefix': None, 'culture': 'French', 'displayname': 'André Masson', 'alphasort': 'Masson, André', 'name': 'André Masson', 'personid': 27423, 'deathplace': 'Paris', 'displayorder': 1}, {'role': 'Publisher', 'birthplace': 'London, England', 'gender': 'male', 'displaydate': '1901 - 1988', 'prefix': None, 'culture': 'British', 'displayname': 'Stanley William Hayter', 'alphasort': 'Hayter, Stanley William', 'name': 'Stanley William Hayter', 'personid': 30878, 'deathplace': 'Paris, France', 'displayorder': 2}]",https://www.harvardartmuseums.org/collections/object/5530,20th century,2006.23,,French,5530,"plate: 22.1 x 17.6 cm (8 11/16 x 6 15/16 in.)
sheet: 32.2 x 50.5 cm (12 11/16 x 19 7/8 in.)"
1000,0,,"Harvard Art Museums/Fogg Museum, Gift of Gil Einstein and Anne MacDougall",2006-01-24T00:00:00-05:00,Modern and Contemporary Art,,467,2006.0,Prints,https://nrs.harvard.edu/urn-3:HUAM:INV056215_dynmc,,"This poster introduces a particularly ""West Coast"" invocation of Fluxus into the collection. The event advertised aligns Fluxus with the avant-garde performance group the San Francisco Mime Troupe (who, it should be noted, do not perform pantomime but instead consider themselves 'mimics', satirists of contemporary life and its absurdities) and San Francisco acid-rock band Quicksilver Messenger Service. While poster's hybrid visual style of psychedelia-influenced art nouveau would likely have been anathema to George Maciunas's rigorously monochromatic, absurdist functionalism, it testifies both to the flexibility of the ""Fluxus"" moniker and to the fact that during the 1960s a range of experimental practices coexisted within the larger formation of ""counterculture"". The graphics are the work of Ida Griffin, wife of the famous psychedelic artist Rick Griffin. The poster was printed at Berkeley-Bonaparte, the distribution agency Griffin founded in 1967 with Alton Kelley, Stanley Mouse, Victor Moscoso and Wes Wilson, all important psychedelic artists.",Lithograph,"The Fogg owns one Maciunas-published Fluxus edition by Ben Berner (M26383), the ""director"" of the Fluxfest advertised on this poster.",,Fluxfest,Gift,,1967,Department of Prints,1967,"[{'role': 'Artist', 'birthplace': None, 'gender': 'female', 'displaydate': None, 'prefix': None, 'culture': 'American', 'displayname': 'Ida Griffin', 'alphasort': 'Griffin, Ida', 'name': 'Ida Griffin', 'personid': 26437, 'deathplace': None, 'displayorder': 1}, {'role': 'Publisher', 'birthplace': None, 'gender': 'male', 'displaydate': None, 'prefix': None, 'culture': 'American?', 'displayname': 'Larry Baldwin', 'alphasort': 'Baldwin, Larry', 'name': 'Larry Baldwin', 'personid': 26438, 'deathplace': None, 'displayorder': 2}, {'role': 'Publisher', 'birthplace': None, 'gender': 'unknown', 'displaydate': 'born 1940', 'prefix': None, 'culture': 'American', 'displayname': 'Jeff Berner', 'alphasort': 'Berner, Jeff', 'name': 'Jeff Berner', 'personid': 25850, 'deathplace': None, 'displayorder': 3}]",https://www.harvardartmuseums.org/collections/object/5853,20th century,2006.6,,American,5853,46 x 34 cm (18 1/8 x 13 3/8 in.)
1218,18,,"Harvard Art Museums/Fogg Museum, Gift of Ann B. Goodman",2006-03-03T00:00:00-05:00,Modern and Contemporary Art,,77,2008.0,Prints,,,"The four prints (2008.48.1-4) are from Diebenkorn's 1978 portfolio Five Aquatints with Drypoint, published by Crown Point Press.  Diebenkorn began sporadically making prints in the early 60s, often turning to printmaking during breaks from painting, and became the first artist published by Crown Point Press.  Beginning with his 1977 portfolio of nine prints and continuing in this 1978 portfolio one sees Diebenkorn's movement away from representation to an interest in more formal, abstract compositions in his prints.  They are experimental in nature (Diebenkorn often reworked the plates by scraping, burnishing, and adding drypoint lines), and show an exploration of planar and linear relationships, textural variety of linear marks, and contrasts of tonal values.  Numbered in the order in which they were made, each print in this group can be viewed singularly.  However, they become even more powerful when studied as a series, as a relationship from one composition to the next becomes evident.",Aquatint,,Lift ground aquatint with burnishing and drypoint on white wove paper,"#4, from Five Aquatints with Drypoint",Gift,,1978,Department of Prints,1978,"[{'role': 'Artist', 'birthplace': 'Portland, OR', 'gender': 'male', 'displaydate': '1922 - 1993', 'prefix': None, 'culture': 'American', 'displayname': 'Richard Diebenkorn', 'alphasort': 'Diebenkorn, Richard', 'name': 'Richard Diebenkorn', 'personid': 18131, 'deathplace': 'Berkeley, CA', 'displayorder': 1}, {'role': 'Printer', 'birthplace': None, 'gender': 'unknown', 'displaydate': None, 'prefix': None, 'culture': 'American', 'displayname': 'Lilah Toland', 'alphasort': 'Toland, Lilah', 'name': 'Lilah Toland', 'personid': 26508, 'deathplace': None, 'displayorder': 2}, {'role': 'Publisher', 'birthplace': None, 'gender': 'unknown', 'displaydate': None, 'prefix': None, 'culture': None, 'displayname': 'Crown Point Press', 'alphasort': 'Crown Point Press', 'name': 'Crown Point Press', 'personid': 45942, 'deathplace': None, 'displayorder': 3}]",https://www.harvardartmuseums.org/collections/object/6084,20th century,2008.48.4,,American,6084,"plate: 27.7 x 19.7 cm (10 7/8 x 7 3/4 in.)
sheet: 47.9 x 33 cm (18 7/8 x 13 in.)"
1245,45,,"Harvard Art Museums/Fogg Museum, Gift of Ann B. Goodman",2006-03-03T00:00:00-05:00,Modern and Contemporary Art,,87,2008.0,Prints,,,"The four prints (2008.48.1-4) are from Diebenkorn's 1978 portfolio Five Aquatints with Drypoint, published by Crown Point Press.  Diebenkorn began sporadically making prints in the early 60s, often turning to printmaking during breaks from painting, and became the first artist published by Crown Point Press.  Beginning with his 1977 portfolio of nine prints and continuing in this 1978 portfolio one sees Diebenkorn's movement away from representation to an interest in more formal, abstract compositions in his prints.  They are experimental in nature (Diebenkorn often reworked the plates by scraping, burnishing, and adding drypoint lines), and show an exploration of planar and linear relationships, textural variety of linear marks, and contrasts of tonal values.  Numbered in the order in which they were made, each print in this group can be viewed singularly.  However, they become even more powerful when studied as a series, as a relationship from one composition to the next becomes evident.",Aquatint,,Lift ground aquatint and drypoint on white wove paper,"#2, from Five Aquatints with Drypoint",Gift,,1978,Department of Prints,1978,"[{'role': 'Artist', 'birthplace': 'Portland, OR', 'gender': 'male', 'displaydate': '1922 - 1993', 'prefix': None, 'culture': 'American', 'displayname': 'Richard Diebenkorn', 'alphasort': 'Diebenkorn, Richard', 'name': 'Richard Diebenkorn', 'personid': 18131, 'deathplace': 'Berkeley, CA', 'displayorder': 1}, {'role': 'Publisher', 'birthplace': None, 'gender': 'unknown', 'displaydate': None, 'prefix': None, 'culture': None, 'displayname': 'Crown Point Press', 'alphasort': 'Crown Point Press', 'name': 'Crown Point Press', 'personid': 45942, 'deathplace': None, 'displayorder': 2}, {'role': 'Printer', 'birthplace': None, 'gender': 'unknown', 'displaydate': None, 'prefix': None, 'culture': 'American', 'displayname': 'Lilah Toland', 'alphasort': 'Toland, Lilah', 'name': 'Lilah Toland', 'personid': 26508, 'deathplace': None, 'displayorder': 3}]",https://www.harvardartmuseums.org/collections/object/6111,20th century,2008.48.2,,American,6111,"plate: 27.6 x 19.9 cm (10 7/8 x 7 13/16 in.)
sheet: 47.8 x 33 cm (18 13/16 x 13 in.)"
