,index,Unnamed: 0,createdate,division,period,accessionyear,classification,commentary,technique,description,medium,title,accessionmethod,provenance,dated,department,people,century,culture,objectid
0,25219.0,19,2004-03-02T00:00:00-05:00,Modern and Contemporary Art,,2004.0,Paintings,,,,Egg tempera and oil on board,Negro Soldier,Purchase,"Collection of the artist (1945-2004) sold; to Fogg Art Museum.
",1945,"Department of American Paintings, Sculpture & Decorative Arts","[{'role': 'Artist', 'birthplace': 'New York, NY', 'gender': 'male', 'displaydate': '1915 - 2013', 'prefix': None, 'culture': 'American', 'displayname': 'Robert Smullyan Sloan', 'alphasort': 'Sloan, Robert Smullyan', 'name': 'Robert Smullyan Sloan', 'personid': 24201, 'deathplace': 'Boston, MA', 'displayorder': 1}]",20th century,American,50190
1,29486.0,86,2004-06-17T00:00:00-04:00,Modern and Contemporary Art,,2002.0,Drawings,,,,Graphite and blue and black crayon on off-white wove paper,"""Jewish farm. Negro. Italian. Farmer.""",Gift,"Stephen Lee Taller, Berkeley, California; to Dolores Taller, gift; to Harvard University Art Museums, 2002.",1942,Department of Drawings,"[{'role': 'Artist', 'birthplace': 'Kovno (now Kaunas), Lithuania', 'gender': 'male', 'displaydate': '1898 - 1969', 'prefix': None, 'culture': 'American', 'displayname': 'Ben Shahn', 'alphasort': 'Shahn, Ben', 'name': 'Ben Shahn', 'personid': 28639, 'deathplace': 'New York, NY', 'displayorder': 1}]",20th century,American,55210
2,33766.0,66,2004-01-05T00:00:00-05:00,Modern and Contemporary Art,,2004.0,Photographs,,Gelatin silver print,,,"Negro Church, South Carolina",Gift,,March 1936,Department of Photographs,"[{'role': 'Artist', 'birthplace': 'St. Louis, Mo., USA', 'gender': 'male', 'displaydate': '1903 - 1975', 'prefix': None, 'culture': 'American', 'displayname': 'Walker Evans', 'alphasort': 'Evans, Walker', 'name': 'Walker Evans', 'personid': 19664, 'deathplace': 'New Haven, Conn., USA', 'displayorder': 1}]",20th century,American,71126
3,37100.0,0,2003-07-24T00:00:00-04:00,Asian and Mediterranean Art,,2003.0,Lighting Devices,,,,Terracotta,"Small mold-made lamp, Eros or Negroid child",Gift,,,Department of Ancient and Byzantine Art & Numismatics,,,,92357
4,73681.0,81,2001-12-19T00:00:00-05:00,Modern and Contemporary Art,,2011.0,Photographs,,Gelatin silver print,,,"Negro sharecropper and his wife, Pulaski County, Arkansas",Transfer,,1935,Department of Photographs,"[{'role': 'Artist', 'birthplace': 'Kovno (now Kaunas), Lithuania', 'gender': 'male', 'displaydate': '1898 - 1969', 'prefix': None, 'culture': 'American', 'displayname': 'Ben Shahn', 'alphasort': 'Shahn, Ben', 'name': 'Ben Shahn', 'personid': 28639, 'deathplace': 'New York, NY', 'displayorder': 1}]",20th century,American,156109
5,73682.0,82,2001-12-19T00:00:00-05:00,Modern and Contemporary Art,,2011.0,Photographs,,Gelatin silver print,,,"Family of Negro sharecropper, Little Rock, Arkansas",Transfer,,1935,Department of Photographs,"[{'role': 'Artist', 'birthplace': 'Kovno (now Kaunas), Lithuania', 'gender': 'male', 'displaydate': '1898 - 1969', 'prefix': None, 'culture': 'American', 'displayname': 'Ben Shahn', 'alphasort': 'Shahn, Ben', 'name': 'Ben Shahn', 'personid': 28639, 'deathplace': 'New York, NY', 'displayorder': 1}]",20th century,American,156110
6,74002.0,2,2001-12-19T00:00:00-05:00,Modern and Contemporary Art,,2011.0,Photographs,,Gelatin silver print,,,"Background photo, family of Negro FSA client, Caruthersville, Missouri",Transfer,,1938,Department of Photographs,"[{'role': 'Artist', 'birthplace': 'Ottawa, Illinois', 'gender': 'male', 'displaydate': '1903 - 1986', 'prefix': None, 'culture': 'American', 'displayname': 'Russell Lee', 'alphasort': 'Lee, Russell', 'name': 'Russell Lee', 'personid': 27120, 'deathplace': 'Austin, Texas', 'displayorder': 1}]",20th century,,156434
7,74013.0,13,2001-12-19T00:00:00-05:00,Modern and Contemporary Art,,2011.0,Photographs,,Gelatin silver print,,,Never Been Out of Mississippi (Negro woman who has never been out of Mississippi),Transfer,,1936,Department of Photographs,"[{'role': 'Artist', 'birthplace': 'Hoboken, New Jersey', 'gender': 'female', 'displaydate': '1895 - 1965', 'prefix': None, 'culture': 'American', 'displayname': 'Dorothea Lange', 'alphasort': 'Lange, Dorothea', 'name': 'Dorothea Lange', 'personid': 27058, 'deathplace': 'San Francisco, California', 'displayorder': 1}]",20th century,American,156445
8,74944.0,44,2001-12-19T00:00:00-05:00,Modern and Contemporary Art,,2011.0,Photographs,,Gelatin silver print,,,"Negro using outside colored stairway to enter movie theatre, Belzoni, Missisissippi",Transfer,,"1939, printed later",Department of Photographs,"[{'role': 'Artist', 'birthplace': 'Montclair, New Jersey', 'gender': 'female', 'displaydate': '1910 - 1990', 'prefix': None, 'culture': 'American', 'displayname': 'Marion Post Wolcott', 'alphasort': 'Wolcott, Marion Post', 'name': 'Marion Post Wolcott', 'personid': 35250, 'deathplace': 'Santa Barbara, California', 'displayorder': 1}]",20th century,American,157378
9,75339.0,39,2001-12-19T00:00:00-05:00,Modern and Contemporary Art,,2011.0,Photographs,,Gelatin silver print,,,"Negros Jitterbugging in ""Juke Joint,"" Clarksdale, Mississippi",Transfer,,"1939, printed later",Department of Photographs,"[{'role': 'Artist', 'birthplace': 'Montclair, New Jersey', 'gender': 'female', 'displaydate': '1910 - 1990', 'prefix': None, 'culture': 'American', 'displayname': 'Marion Post Wolcott', 'alphasort': 'Wolcott, Marion Post', 'name': 'Marion Post Wolcott', 'personid': 35250, 'deathplace': 'Santa Barbara, California', 'displayorder': 1}]",20th century,American,157773
