,index,Unnamed: 0,copyright,creditline,createdate,division,period,totalpageviews,accessionyear,classification,style,commentary,technique,description,medium,title,accessionmethod,provenance,dated,department,dateend,people,century,objectnumber,labeltext,culture,objectid,dimensions
1,31,68,,"Harvard Art Museums/Fogg Museum, Acquisition Fund for Prints",2003-07-11T00:00:00-04:00,European and American Art,,45,2003.0,Prints,,,Etching,,,American Indian Costumes,Purchase,,1636,Department of Prints,1636,"[{'role': 'Artist', 'birthplace': None, 'gender': 'male', 'displaydate': '1607 - 1641', 'prefix': None, 'culture': 'German', 'displayname': 'Johann Wilhelm Baur', 'alphasort': 'Baur, Johann Wilhelm', 'name': 'Johann Wilhelm Baur', 'personid': 27026, 'deathplace': None, 'displayorder': 1}]",17th century,S11.3.3,,German,92639,sheet: 8.3 x 11.1 cm (3 1/4 x 4 3/8 in.)
2,32,27,,"Harvard Art Museums/Fogg Museum, Acquisition Fund for Prints",2003-07-11T00:00:00-04:00,European and American Art,,49,2003.0,Prints,,,Etching,,,American Indian Battle,Purchase,,1636,Department of Prints,1636,"[{'role': 'Artist', 'birthplace': None, 'gender': 'male', 'displaydate': '1607 - 1641', 'prefix': None, 'culture': 'German', 'displayname': 'Johann Wilhelm Baur', 'alphasort': 'Baur, Johann Wilhelm', 'name': 'Johann Wilhelm Baur', 'personid': 27026, 'deathplace': None, 'displayorder': 1}]",17th century,S11.9.3,,German,93001,plate: 10.4 x 14 cm (4 1/8 x 5 1/2 in.)
3,33,34,© 1991 Harry Sternberg / Brighton Press,"Harvard Art Museums/Fogg Museum, Margaret Fisher Fund",2003-04-16T00:00:00-04:00,Modern and Contemporary Art,,50,2003.0,Prints,,,Woodcut,,,Driving Across the US / Corn Wheat Tornados / Rocky Mts Cowboys / Indians Deserts Palm / Orange Avacado / Trees Mexicans / Isomata and Palm / Springs Wrkshops / The Pacific Ocean / Hiking Bicycling / And Such / Fine / Painting Light!,Purchase,"[Brighton Press, San Diego, California], sold; to Harvard University Art Museums, June 10, 2003.",20th century,Department of Prints,0,"[{'role': 'Artist', 'birthplace': 'New York, New York', 'gender': 'male', 'displaydate': '1904 - 2001', 'prefix': None, 'culture': 'American', 'displayname': 'Harry Sternberg', 'alphasort': 'Sternberg, Harry', 'name': 'Harry Sternberg', 'personid': 33112, 'deathplace': None, 'displayorder': 1}]",20th century,M25834.35,,American,94480,
4,34,12,© Estate of Joseph Janney Steinmetz,"Harvard Art Museums/Fogg Museum, Transfer from the Carpenter Center for the Visual Arts, American Professional Photographers Collection",2003-01-07T00:00:00-05:00,Modern and Contemporary Art,,4,2011.0,Photographs,,,Photomechanical print,,,Seminole Indian,Transfer,,1954,Department of Photographs,1954,"[{'role': 'Artist', 'birthplace': 'Germantown, PA', 'gender': 'male', 'displaydate': '1905 - 1985', 'prefix': None, 'culture': 'American', 'displayname': 'Joseph Janney Steinmetz', 'alphasort': 'Steinmetz, Joseph Janney', 'name': 'Joseph Janney Steinmetz', 'personid': 22612, 'deathplace': 'Sarasota, FL', 'displayorder': 1}]",20th century,4.2002.328.48,,American,99982,image: 13.9 x 17.7 cm (5 1/2 x 6 15/16 in.)
6,36,58,,"Harvard Art Museums/Fogg Museum, Transfer from the Carpenter Center for the Visual Arts, American Professional Photographers Collection",2002-11-01T00:00:00-05:00,Modern and Contemporary Art,,4,2011.0,Photographs,,,Gelatin silver print,,,"Untitled (four photographs: men in elaborate costumes in gymnasium surrounded by stage lighting and microphone (three photographs); group photo of men in elaborate costumes including Uncle Sam, clown, old women, American Indian and Fu Manchu)",Transfer,,1948,Department of Photographs,1948,"[{'role': 'Artist', 'birthplace': None, 'gender': 'unknown', 'displaydate': '1916 - 1996', 'prefix': None, 'culture': 'American', 'displayname': 'Francis J. Sullivan', 'alphasort': 'Sullivan, Francis J.', 'name': 'Francis J. Sullivan', 'personid': 22614, 'deathplace': None, 'displayorder': 1}]",20th century,4.2002.23090,,American,119455,"horizontal image: 9.8 x 12.2 cm (3 7/8 x 4 13/16 in.)
vertical images: 12.2 x 9.7 cm (4 13/16 x 3 13/16 in.)"
7,37,85,,"Harvard Art Museums/Fogg Museum, Transfer from the Carpenter Center for the Visual Arts, American Professional Photographers Collection",2002-11-01T00:00:00-05:00,Modern and Contemporary Art,,4,2011.0,Photographs,,,"Negative, gelatin silver (film)",,,Untitled (Eugenie Stoll in Indian costume shooting arrow),Transfer,,c. 1935,Department of Photographs,1940,"[{'role': 'Artist', 'birthplace': None, 'gender': 'unknown', 'displaydate': '1879 - 1939', 'prefix': None, 'culture': 'American', 'displayname': 'C. Bennette Moore', 'alphasort': 'Moore, C. Bennette', 'name': 'C. Bennette Moore', 'personid': 22300, 'deathplace': None, 'displayorder': 1}]",20th century,4.2002.21828,,American,120649,17.78 x 12.7 cm (7 x 5 in.)
8,38,46,,"Harvard Art Museums/Fogg Museum, Transfer from the Carpenter Center for the Visual Arts, American Professional Photographers Collection",2002-11-01T00:00:00-05:00,Modern and Contemporary Art,,11,2011.0,Photographs,,,"Negative, gelatin silver (film)",,,Untitled (people in Indian costumes inside tipi),Transfer,,c. 1950,Department of Photographs,1955,"[{'role': 'Artist', 'birthplace': None, 'gender': 'unknown', 'displaydate': None, 'prefix': None, 'culture': 'American', 'displayname': 'Lucian and Mary Brown', 'alphasort': 'Brown, Lucian and Mary', 'name': 'Lucian and Mary Brown', 'personid': 23041, 'deathplace': None, 'displayorder': 1}]",20th century,4.2002.16903,,American,125611,10.16 x 12.7 cm (4 x 5 in.)
9,39,21,,"Harvard Art Museums/Fogg Museum, Transfer from the Carpenter Center for the Visual Arts, American Professional Photographers Collection",2002-11-01T00:00:00-05:00,Modern and Contemporary Art,,3,2011.0,Photographs,,,"Slide, 35 mm, color",,,Untitled (neon lights at night; an Indian chief),Transfer,,c. 1950,Department of Photographs,1955,"[{'role': 'Artist', 'birthplace': None, 'gender': 'male', 'displaydate': None, 'prefix': None, 'culture': 'American', 'displayname': 'Jack Gould', 'alphasort': 'Gould, Jack', 'name': 'Jack Gould', 'personid': 21849, 'deathplace': None, 'displayorder': 1}]",20th century,4.2002.16137,,American,126384,5.7 x 5.7 cm (2 1/4 x 2 1/4 in.)
10,40,17,,"Harvard Art Museums/Fogg Museum, Transfer from the Carpenter Center for the Visual Arts, American Professional Photographers Collection",2002-11-01T00:00:00-05:00,Modern and Contemporary Art,,9,2011.0,Photographs,,,"Negative, gelatin silver (35mm film)",,,Untitled (children in cowboy and Indian costumes),Transfer,,1975,Department of Photographs,1975,"[{'role': 'Artist', 'birthplace': 'Pennsylvania', 'gender': 'unknown', 'displaydate': '1916 - 1985', 'prefix': None, 'culture': 'American', 'displayname': 'Mary Lowber Tiers', 'alphasort': 'Tiers, Mary Lowber', 'name': 'Mary Lowber Tiers', 'personid': 22495, 'deathplace': 'Florida', 'displayorder': 1}]",20th century,4.2002.15858,,American,126580,3.5 x 15.3 cm (1 3/8 x 6 in.)
11,41,90,© Estate of Joseph Janney Steinmetz,"Harvard Art Museums/Fogg Museum, Transfer from the Carpenter Center for the Visual Arts, American Professional Photographers Collection",2002-11-01T00:00:00-05:00,Modern and Contemporary Art,,1,2011.0,Photographs,,,"Negative, gelatin silver (film)",,,Untitled (San Idefonso Indian women removing bread from oven),Transfer,,1946,Department of Photographs,1946,"[{'role': 'Artist', 'birthplace': 'Germantown, PA', 'gender': 'male', 'displaydate': '1905 - 1985', 'prefix': None, 'culture': 'American', 'displayname': 'Joseph Janney Steinmetz', 'alphasort': 'Steinmetz, Joseph Janney', 'name': 'Joseph Janney Steinmetz', 'personid': 22612, 'deathplace': 'Sarasota, FL', 'displayorder': 1}]",20th century,4.2002.7055,,American,135442,image: 10.16 x 12.7 cm (4 x 5 in.)
