,index,Unnamed: 0,copyright,creditline,createdate,division,period,totalpageviews,accessionyear,classification,style,commentary,technique,description,medium,title,accessionmethod,provenance,dated,department,dateend,people,century,objectnumber,labeltext,culture,objectid,dimensions
1,25219,19,© Robert Smullyan Sloan,"Harvard Art Museums/Fogg Museum, Purchase through the generosity of Michael Kempner, Michael Maher, and Ann Schwarz",2004-03-02T00:00:00-05:00,Modern and Contemporary Art,,1983,2004.0,Paintings,,,,,Egg tempera and oil on board,Negro Soldier,Purchase,"Collection of the artist (1945-2004) sold; to Fogg Art Museum.
",1945,"Department of American Paintings, Sculpture & Decorative Arts",1945,"[{'role': 'Artist', 'birthplace': 'New York, NY', 'gender': 'male', 'displaydate': '1915 - 2013', 'prefix': None, 'culture': 'American', 'displayname': 'Robert Smullyan Sloan', 'alphasort': 'Sloan, Robert Smullyan', 'name': 'Robert Smullyan Sloan', 'personid': 24201, 'deathplace': 'Boston, MA', 'displayorder': 1}]",20th century,2004.194,"Robert Smullyan Sloan was drafted into the army in 1943 and stationed in New York, where he illustrated educational materials for the armed services and produced posters for the U.S. Treasury’s war bond campaign. In this painstakingly detailed composition reminiscent of early Flemish painting, he portrays a U.S. Army private wearing a dress uniform with ribbons designating a Good Conduct Medal and participation in the European–African–Middle Eastern Campaign. The artist’s title, however, accords him only the designation of his race, using the language of that historical moment.
African Americans fought a two-front battle during World War II, facing enemies overseas and racism at home. The view out the window in Sloan’s work alludes to the distinguished soldier’s dreary prospects upon his return to the gritty urban environment of 125th Street in Harlem.",American,50190,"68 x 58 cm (26 3/4 x 22 13/16 in.)
framed: 67 x 56.8 x 4.5 cm (26 3/8 x 22 3/8 x 1 3/4 in.)"
2,29486,86,"© Estate of Ben Shahn / Artists Rights Society (ARS), New York","Harvard Art Museums/Fogg Museum, Stephen Lee Taller Ben Shahn Archive, Gift of Dolores S. Taller",2004-06-17T00:00:00-04:00,Modern and Contemporary Art,,28,2002.0,Drawings,,,,,Graphite and blue and black crayon on off-white wove paper,"""Jewish farm. Negro. Italian. Farmer.""",Gift,"Stephen Lee Taller, Berkeley, California; to Dolores Taller, gift; to Harvard University Art Museums, 2002.",1942,Department of Drawings,1942,"[{'role': 'Artist', 'birthplace': 'Kovno (now Kaunas), Lithuania', 'gender': 'male', 'displaydate': '1898 - 1969', 'prefix': None, 'culture': 'American', 'displayname': 'Ben Shahn', 'alphasort': 'Shahn, Ben', 'name': 'Ben Shahn', 'personid': 28639, 'deathplace': 'New York, NY', 'displayorder': 1}]",20th century,2002.189.17,,American,55210,folded sheet: 26.6 x 20.3 cm (10 1/2 x 8 in.)
3,33766,66,"© Walker Evans Archive, The Metropolitan Museum of Art","Harvard Art Museums/Fogg Museum, Gift of Sam Pratt",2004-01-05T00:00:00-05:00,Modern and Contemporary Art,,32,2004.0,Photographs,,,Gelatin silver print,,,"Negro Church, South Carolina",Gift,,March 1936,Department of Photographs,1936,"[{'role': 'Artist', 'birthplace': 'St. Louis, Mo., USA', 'gender': 'male', 'displaydate': '1903 - 1975', 'prefix': None, 'culture': 'American', 'displayname': 'Walker Evans', 'alphasort': 'Evans, Walker', 'name': 'Walker Evans', 'personid': 19664, 'deathplace': 'New Haven, Conn., USA', 'displayorder': 1}]",20th century,P2003.239,,American,71126,"image: 24.9 x 19.8 cm (9 13/16 x 7 13/16 in.)
sheet: 25.5 x 20.8 cm (10 1/16 x 8 3/16 in.)"
4,37100,0,,"Harvard Art Museums/Arthur M. Sackler Museum, Gift of the daughters of Florence and Mason Hammond",2003-07-24T00:00:00-04:00,Asian and Mediterranean Art,,5,2003.0,Lighting Devices,,,,,Terracotta,"Small mold-made lamp, Eros or Negroid child",Gift,,,Department of Ancient and Byzantine Art & Numismatics,0,,,2003.100.21,,,92357,
7,73681,81,,"Harvard Art Museums/Fogg Museum, Transfer from the Carpenter Center for the Visual Arts",2001-12-19T00:00:00-05:00,Modern and Contemporary Art,,53,2011.0,Photographs,,,Gelatin silver print,,,"Negro sharecropper and his wife, Pulaski County, Arkansas",Transfer,,1935,Department of Photographs,1935,"[{'role': 'Artist', 'birthplace': 'Kovno (now Kaunas), Lithuania', 'gender': 'male', 'displaydate': '1898 - 1969', 'prefix': None, 'culture': 'American', 'displayname': 'Ben Shahn', 'alphasort': 'Shahn, Ben', 'name': 'Ben Shahn', 'personid': 28639, 'deathplace': 'New York, NY', 'displayorder': 1}]",20th century,2.2002.3047,,American,156109,"image: 16.8 x 24.2 cm (6 5/8 x 9 1/2 in.)
sheet: 20.4 x 25.3 cm (8 1/16 x 9 15/16 in.)"
8,73682,82,,"Harvard Art Museums/Fogg Museum, Transfer from the Carpenter Center for the Visual Arts",2001-12-19T00:00:00-05:00,Modern and Contemporary Art,,84,2011.0,Photographs,,,Gelatin silver print,,,"Family of Negro sharecropper, Little Rock, Arkansas",Transfer,,1935,Department of Photographs,1935,"[{'role': 'Artist', 'birthplace': 'Kovno (now Kaunas), Lithuania', 'gender': 'male', 'displaydate': '1898 - 1969', 'prefix': None, 'culture': 'American', 'displayname': 'Ben Shahn', 'alphasort': 'Shahn, Ben', 'name': 'Ben Shahn', 'personid': 28639, 'deathplace': 'New York, NY', 'displayorder': 1}]",20th century,2.2002.3048,,American,156110,"image: 16.5 x 24.2 cm (6 1/2 x 9 1/2 in.)
sheet: 20.4 x 25.3 cm (8 1/16 x 9 15/16 in.)"
9,74002,2,,"Harvard Art Museums/Fogg Museum, Transfer from the Carpenter Center for the Visual Arts",2001-12-19T00:00:00-05:00,Modern and Contemporary Art,,36,2011.0,Photographs,,,Gelatin silver print,,,"Background photo, family of Negro FSA client, Caruthersville, Missouri",Transfer,,1938,Department of Photographs,1938,"[{'role': 'Artist', 'birthplace': 'Ottawa, Illinois', 'gender': 'male', 'displaydate': '1903 - 1986', 'prefix': None, 'culture': 'American', 'displayname': 'Russell Lee', 'alphasort': 'Lee, Russell', 'name': 'Russell Lee', 'personid': 27120, 'deathplace': 'Austin, Texas', 'displayorder': 1}]",20th century,2.2002.2983,,,156434,"image: 16.7 x 24 cm (6 9/16 x 9 7/16 in.)
sheet: 20 x 25 cm (7 7/8 x 9 13/16 in.)
mount: 20 x 25 cm (7 7/8 x 9 13/16 in.)"
10,74013,13,,"Harvard Art Museums/Fogg Museum, Transfer from the Carpenter Center for the Visual Arts",2001-12-19T00:00:00-05:00,Modern and Contemporary Art,,67,2011.0,Photographs,,,Gelatin silver print,,,Never Been Out of Mississippi (Negro woman who has never been out of Mississippi),Transfer,,1936,Department of Photographs,1936,"[{'role': 'Artist', 'birthplace': 'Hoboken, New Jersey', 'gender': 'female', 'displaydate': '1895 - 1965', 'prefix': None, 'culture': 'American', 'displayname': 'Dorothea Lange', 'alphasort': 'Lange, Dorothea', 'name': 'Dorothea Lange', 'personid': 27058, 'deathplace': 'San Francisco, California', 'displayorder': 1}]",20th century,2.2002.2993,,American,156445,"image: 23.9 x 19.1 cm (9 7/16 x 7 1/2 in.)
mount: 25.1 x 20.1 cm (9 7/8 x 7 15/16 in.)
sheet: 25.1 x 20.1 cm (9 7/8 x 7 15/16 in.)"
11,74944,44,,"Harvard Art Museums/Fogg Museum, Transfer from the Carpenter Center for the Visual Arts, Gift of Wolcott Community Management",2001-12-19T00:00:00-05:00,Modern and Contemporary Art,,138,2011.0,Photographs,,,Gelatin silver print,,,"Negro using outside colored stairway to enter movie theatre, Belzoni, Missisissippi",Transfer,,"1939, printed later",Department of Photographs,1939,"[{'role': 'Artist', 'birthplace': 'Montclair, New Jersey', 'gender': 'female', 'displaydate': '1910 - 1990', 'prefix': None, 'culture': 'American', 'displayname': 'Marion Post Wolcott', 'alphasort': 'Wolcott, Marion Post', 'name': 'Marion Post Wolcott', 'personid': 35250, 'deathplace': 'Santa Barbara, California', 'displayorder': 1}]",20th century,2.2002.1575,,American,157378,"22.2 x 29.8 cm (8 3/4 x 11 3/4 in.)
sheet: 27.8 x 35.4 cm (10 15/16 x 13 15/16 in.)"
12,75339,39,,"Harvard Art Museums/Fogg Museum, Transfer from the Carpenter Center for the Visual Arts, Gift of Wolcott Community Management",2001-12-19T00:00:00-05:00,Modern and Contemporary Art,,136,2011.0,Photographs,,,Gelatin silver print,,,"Negros Jitterbugging in ""Juke Joint,"" Clarksdale, Mississippi",Transfer,,"1939, printed later",Department of Photographs,1939,"[{'role': 'Artist', 'birthplace': 'Montclair, New Jersey', 'gender': 'female', 'displaydate': '1910 - 1990', 'prefix': None, 'culture': 'American', 'displayname': 'Marion Post Wolcott', 'alphasort': 'Wolcott, Marion Post', 'name': 'Marion Post Wolcott', 'personid': 35250, 'deathplace': 'Santa Barbara, California', 'displayorder': 1}]",20th century,2.2002.1576,,American,157773,"image: 21.7 x 27.3 cm (8 9/16 x 10 3/4 in.)
sheet: 27.7 x 35.3 cm (10 7/8 x 13 7/8 in.)"
